Brand,Model,Body,Country,Condition,Fuel_Type,Gearbox,Horsepower,Seats,Doors,Color,Full_Service_History,Non_Smoker_Vehicle,Seller,Vehicle_Age,Annual_Distance_Avg,Market_Segment,Classic_Vehicle
43,1208,0,6,1,4,0,116,5,5,8,True,0,0,4,15243.25,2,0
3,905,3,4,1,3,0,204,5,5,1,True,1,0,1,4000.0,1,0
0,118,1,4,1,6,1,144,4,3,13,True,1,0,8,10625.0,2,0
37,1007,5,8,1,6,0,1,5,4,6,True,1,1,53,0.0188679245283018,0,1
22,1211,5,4,1,0,1,84,4,5,1,True,0,0,13,17461.53846153846,2,0
13,129,2,5,1,6,0,540,1,2,1,False,1,0,19,801.2105263157895,0,0
29,661,3,4,1,6,1,162,5,5,2,False,0,0,2,10959.5,2,0
25,637,3,2,1,6,0,530,5,5,10,False,0,0,4,9407.0,0,0
21,1130,3,2,0,6,0,799,4,5,2,True,1,0,6,8.333333333333334,0,0
19,933,3,4,1,1,1,131,5,5,7,True,0,0,5,14362.8,2,0
17,668,5,2,1,6,0,280,5,5,7,False,1,0,4,17486.5,2,0
42,807,5,3,1,2,0,702,5,5,1,False,0,0,11,29545.454545454544,1,0
32,1171,3,2,0,6,0,158,5,5,7,False,1,0,6,0.0,2,0
24,954,3,3,1,6,0,253,5,5,1,False,0,0,11,9539.09090909091,1,0
30,406,3,2,1,2,0,306,5,5,2,True,1,0,2,5359.0,1,0
20,1190,3,1,1,4,0,105,5,5,7,True,1,0,4,8500.0,2,0
20,936,0,2,1,6,1,101,5,5,1,True,1,0,5,11000.0,2,0
11,457,3,4,1,1,1,114,5,5,1,True,1,0,3,14166.666666666666,2,0
26,828,3,7,1,4,0,170,5,5,11,False,0,0,2,11117.5,2,0
40,554,0,4,1,6,1,71,2,2,13,True,1,0,11,4272.727272727273,2,0
23,923,3,6,1,1,0,300,5,5,7,True,0,0,9,18076.666666666668,1,0
23,922,3,7,1,1,0,245,5,5,13,False,0,0,16,13750.0,1,0
7,399,2,7,1,6,0,460,5,3,7,False,0,0,10,4500.0,2,0
10,552,3,6,1,4,0,245,5,5,7,True,0,0,4,30632.25,1,0
29,661,3,4,1,6,2,162,5,5,7,False,0,0,2,12000.0,2,0
2,434,1,2,1,6,0,510,4,2,1,True,1,0,8,1525.0,0,0
8,279,0,6,1,6,1,68,4,5,13,True,0,0,17,12782.941176470587,2,0
33,397,0,2,1,6,1,101,5,4,10,False,1,0,16,9365.625,2,0
41,1158,3,6,1,6,0,129,5,5,2,True,0,0,5,8851.4,2,0
40,335,2,8,1,6,0,54,2,2,1,False,0,1,26,5269.2307692307695,2,1
41,705,3,3,1,1,1,0,5,5,11,False,0,0,18,7177.777777777777,2,0
4,547,5,3,1,6,0,625,5,5,7,False,0,0,13,6615.384615384615,0,0
11,249,3,2,0,8,1,140,5,5,7,True,1,0,6,1.6666666666666667,2,0
10,748,5,2,1,1,0,150,5,5,13,True,1,0,2,9108.0,1,0
24,743,3,4,1,4,0,136,5,5,7,False,0,0,1,1.0,1,0
39,1052,6,2,1,1,0,200,5,5,10,True,1,0,4,15300.75,2,0
25,911,5,3,1,6,0,411,5,4,1,True,0,0,12,10458.333333333334,0,0
35,319,3,4,1,4,0,462,5,5,7,True,0,0,5,11800.0,0,0
17,666,0,2,0,6,1,79,5,5,7,False,0,0,6,0.0,2,0
31,358,0,2,0,6,1,67,5,5,13,False,0,0,6,0.8333333333333334,2,0
27,151,1,0,1,6,0,751,2,2,7,True,0,0,2,2571.5,0,0
1,1042,3,4,1,1,0,209,5,5,9,False,0,0,5,7678.4,1,0
0,118,0,4,1,6,1,160,4,3,11,False,0,0,6,8833.333333333334,2,0
15,492,3,2,1,6,1,111,5,5,13,True,1,0,12,3485.833333333333,2,0
7,415,5,8,1,1,1,131,5,5,13,False,1,1,13,6423.076923076923,2,0
5,8,5,1,1,1,1,116,5,5,1,True,1,0,9,16256.888888888889,1,0
1,575,5,4,1,6,1,120,5,5,2,False,0,0,6,6739.666666666667,1,0
39,724,3,2,1,0,1,90,5,5,1,True,1,0,6,9848.333333333334,2,0
23,922,3,2,1,6,0,635,5,4,7,True,1,0,1,2900.0,1,0
4,364,2,0,1,6,0,560,4,2,1,True,1,0,18,3872.222222222222,0,0
13,11,2,3,0,6,2,829,2,2,13,False,0,0,6,0.0,0,0
9,1222,2,2,1,6,1,649,2,2,2,True,1,0,13,64.07692307692308,0,0
4,364,2,2,1,6,0,559,4,2,1,True,1,0,20,6113.5,0,0
20,1031,3,2,1,6,0,179,5,5,7,True,1,0,1,5350.0,2,0
44,1077,3,2,1,6,1,95,5,5,1,True,1,0,2,9281.5,2,0
33,397,0,2,1,6,1,75,5,5,1,True,1,0,5,8554.2,2,0
1,1098,3,4,1,4,0,160,5,5,9,False,0,0,2,0.5,1,0
12,919,3,2,1,8,0,401,5,4,1,False,0,0,2,3600.0,2,0
12,327,2,2,1,6,0,381,5,2,6,True,1,0,3,6666.666666666667,2,0
35,171,2,1,1,6,0,385,4,2,10,True,1,0,17,9205.411764705885,0,0
33,413,3,2,1,6,0,131,5,5,1,True,1,0,3,20000.0,2,0
38,673,5,4,1,1,1,80,5,5,7,False,1,0,19,6052.631578947368,2,0
23,921,3,4,1,1,0,150,5,5,1,True,1,0,9,13777.777777777776,1,0
30,379,5,0,1,2,0,184,4,3,1,True,1,0,3,700.0,1,0
13,156,2,2,1,6,0,799,2,2,9,True,1,0,5,5300.0,0,0
44,304,8,2,1,1,1,122,5,5,7,True,0,0,5,5902.0,2,0
0,94,5,4,1,6,1,135,4,3,7,False,0,0,13,3676.538461538461,2,0
41,705,3,6,1,6,0,84,4,3,13,True,1,0,11,3586.0,2,0
5,8,5,2,1,6,1,136,5,5,4,False,1,0,12,9694.166666666666,1,0
11,983,5,1,1,6,1,90,5,5,7,False,0,0,7,7171.571428571428,2,0
21,1130,3,3,1,6,0,0,5,5,2,False,0,0,3,9300.0,0,0
40,554,0,2,1,6,0,90,2,2,1,True,1,0,7,7328.571428571428,2,0
42,809,3,8,1,2,0,534,5,5,7,True,1,1,2,21550.0,1,0
30,389,0,1,1,2,0,184,4,3,7,True,1,0,5,3452.2,1,0
34,55,5,4,1,6,1,131,5,5,6,True,1,0,4,15250.0,2,0
22,1211,5,4,1,4,1,69,5,5,2,False,1,0,4,18700.0,2,0
7,1027,5,8,1,6,1,68,5,5,9,False,0,1,15,12666.666666666666,2,0
40,554,1,2,1,6,2,71,2,2,1,True,1,0,16,5504.625,2,0
37,352,5,2,1,6,0,188,5,4,7,False,0,0,66,1756.060606060606,0,1
33,1216,8,2,1,6,1,140,7,5,6,True,1,0,10,12200.0,2,0
41,705,1,1,1,6,1,86,4,3,7,True,1,0,19,6679.684210526316,2,0
35,1084,6,6,1,2,0,517,4,5,7,True,0,0,3,14631.333333333334,0,0
29,661,3,4,1,4,0,272,5,5,1,False,0,0,1,10.0,2,0
40,551,0,4,1,6,1,71,4,5,11,False,0,0,10,13500.0,2,0
38,673,0,6,1,6,1,86,5,5,6,True,0,0,17,10470.588235294115,2,0
36,224,3,2,1,6,1,140,5,5,7,True,1,0,3,4620.333333333333,2,0
41,1158,3,4,1,4,1,129,5,5,10,False,0,0,4,16550.0,2,0
38,673,0,2,1,6,1,95,5,4,1,True,1,0,5,6640.0,2,0
40,554,0,7,1,6,0,71,2,3,13,False,0,0,14,1928.571428571429,2,0
3,971,5,1,1,6,1,265,5,5,2,True,1,0,17,8117.64705882353,1,0
21,1130,3,3,1,6,0,666,5,5,1,True,0,0,3,3863.6666666666665,0,0
2,1149,2,3,1,6,0,426,5,3,11,False,0,0,18,3833.3333333333335,0,0
2,434,2,3,1,6,0,608,4,2,1,True,1,0,7,2814.285714285714,0,0
17,733,3,1,1,4,0,105,5,5,1,True,1,0,6,19534.5,2,0
44,1061,3,2,1,6,1,110,5,5,7,True,0,0,5,6873.6,2,0
7,309,2,2,1,8,0,405,4,2,1,False,0,0,13,7115.384615384615,2,0
5,766,5,1,1,6,0,431,5,4,10,True,1,0,11,10909.09090909091,1,0
23,920,3,2,1,1,0,349,5,5,1,True,1,0,3,10811.333333333334,1,0
44,880,0,2,1,6,1,60,5,2,7,True,1,0,10,12400.0,2,0
